round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_f1,test_loss,test_accuracy,test_f1,communication_cost_bytes
1,0.3506393892161673,0.9364955777614323,0.0,0.3068668246269226,0.9085190931720004,0.0,0.32345283031463623,0.9021515278359146,0.00011406410402646287,5904
2,0.2665230819712943,0.9365171059005041,0.0027805437090198584,0.3210640847682953,0.9078437719758448,0.003981179876945349,0.3395957946777344,0.9016269010743686,0.0007936507936507937,5904
3,0.24873712937802406,0.9364907937305275,0.006696720851493668,0.3271206021308899,0.9070177592731088,0.00892325996430696,0.34280601143836975,0.901119017720106,0.006727588720076246,5904
4,0.23504344655079903,0.9363412927647513,0.0069405574834881896,0.32771241664886475,0.9058959447241229,0.008934344324927996,0.3392163813114166,0.900242779405609,0.006779284285396755,5904
5,0.2275581147208555,0.9362970404788815,0.007268931839785287,0.32561635971069336,0.9054773572058445,0.008895131086142321,0.3335883319377899,0.8998353564950468,0.006861822810027115,5904
6,0.2220222653686484,0.9362563762161904,0.007338287608723995,0.3217141926288605,0.9053434091999956,0.008882655446470314,0.3269555866718292,0.8996958281010186,0.006962095259144657,5904
7,0.21903638260228608,0.9362300640462138,0.00748310716479589,0.32008597254753113,0.9053434091999956,0.009230050239513963,0.32354941964149475,0.8997014092367797,0.0070722139344715175,5904
8,0.21724202668776735,0.9361846157526178,0.0074778176677393554,0.318015992641449,0.9052987598647125,0.009225738642998948,0.3199618458747864,0.8996232733361239,0.0070667476398167065,5904
9,0.21409280481285467,0.9361810277294391,0.007477400394330568,0.31887924671173096,0.905276435197071,0.009223584354932866,0.3201741576194763,0.8996176922003628,0.00706635751352545,5904
10,0.21439217342824493,0.9361846157526178,0.0076254951922182755,0.3196166455745697,0.9052820163639814,0.009224122832623038,0.32036638259887695,0.8996344356076461,0.007067528021644304,5904
11,0.2126865446416587,0.9361989678453323,0.0078117734585697015,0.321058988571167,0.9053043410316229,0.009341974659893735,0.3214586079120636,0.8996400167434073,0.00706791827719492,5904
12,0.21177325778076064,0.9362169079612255,0.007961605714498308,0.3218476176261902,0.9053099221985332,0.009342520144809062,0.3219708502292633,0.8996511790149295,0.007068698917605479,5904
13,0.21039389412303477,0.9362240840075827,0.007925581395348838,0.32476019859313965,0.905321084532354,0.00934361130576968,0.32498347759246826,0.8996623412864518,0.007069479730476085,5904
14,0.2100667958655549,0.9362264760230351,0.007962790697674419,0.32551395893096924,0.9053155033654436,0.009343065693430658,0.3256530165672302,0.8996511790149295,0.007068698917605479,5904
15,0.20883406080459266,0.9355674757658935,0.008137715179968702,0.32535240054130554,0.9045843705001841,0.00927213722763097,0.3253651559352875,0.8989591181805497,0.007020623080298377,5904
16,0.20867374497843982,0.935490931271416,0.008237565505194448,0.3252636194229126,0.9044950718296182,0.009263547938860583,0.32546719908714294,0.8989144690944607,0.007017543859649123,5904
17,0.20617177032838638,0.9351141888376598,0.008842443729903537,0.32572609186172485,0.9040150914753257,0.009445916369081903,0.325958251953125,0.8984847216408539,0.007421555252387448,5904
18,0.20577784179542746,0.9348546551610724,0.01028436449532116,0.3251517415046692,0.9037471954636276,0.010102169670531512,0.3252413868904114,0.8980996232733361,0.0078252363873492,5904
19,0.2037478729882626,0.9348426950838102,0.009670793114104452,0.32732266187667847,0.9037360331298068,0.009873708381171067,0.3278108537197113,0.8980884610018138,0.007608695652173913,5904
20,0.2038130406093118,0.9348331270220006,0.010029251984956121,0.3280201256275177,0.9037248707959861,0.00987257490529216,0.3286311626434326,0.8980828798660527,0.007608282158578338,5904
21,0.20312992152312656,0.9347350543884514,0.010373406358245225,0.32841911911964417,0.9036188286246889,0.010088850673545428,0.32913938164711,0.8979154457932189,0.007703575109857321,5904
22,0.20162609439620138,0.9347039581875699,0.010009610676918055,0.3291575014591217,0.9035685981224955,0.009856733524355302,0.3301893472671509,0.8978875401144133,0.007593838142764157,5904
23,0.20080882535402234,0.9347374464039038,0.009151822193168818,0.3305608630180359,0.9036188286246889,0.009407445649056387,0.33205142617225647,0.8979824194223525,0.007493077048379215,5904
24,0.1995878421042776,0.9347278783420941,0.009078529278256923,0.3309929668903351,0.9036132474577785,0.00940690604565791,0.332922101020813,0.897965676015069,0.00749185667752443,5904
25,0.19786555366237346,0.9347816986897736,0.008833793805438419,0.33232855796813965,0.9037137084621653,0.009416628387689481,0.3349277079105377,0.898049393051486,0.0071743029512473504,5904
26,0.19838528249641743,0.9346465498167118,0.00964204802899864,0.33163273334503174,0.9035016241195709,0.009736540664375716,0.33444204926490784,0.8978261476210408,0.00758930991489131,5904
27,0.19678340148157392,0.9346692739635099,0.009681279234199935,0.332401841878891,0.9035685981224955,0.009743237047226043,0.3357287347316742,0.8978707967071299,0.007592602635717772,5904
28,0.19655034792049564,0.934699174156665,0.009757513103723452,0.33359310030937195,0.9036188286246889,0.009861819849779256,0.3374280035495758,0.89792102692898,0.007596310363537711,5904
29,0.1958396053065051,0.9346573138862477,0.010468738679997102,0.33366501331329346,0.9035462734548539,0.010081338068507275,0.3378537595272064,0.8978373098925632,0.007912850252018861,5904
30,0.19494605341398805,0.9347482104734397,0.01016002032004064,0.33486616611480713,0.9036634779599718,0.009979925437338687,0.3396625518798828,0.8979935816938747,0.007709430479396276,5904
31,0.1936991002060843,0.9347757186511425,0.009193146926836359,0.33667317032814026,0.9037471954636276,0.00941987363584147,0.3423893451690674,0.8980717175945305,0.007283796271131163,5904
32,0.19269895461464392,0.9353868785992357,0.008442845606049482,0.33889228105545044,0.9043555426568587,0.009250158987107591,0.34582218527793884,0.8988307520580439,0.007011777595179403,5904
33,0.1919413175502899,0.9354048187151289,0.008481577353086963,0.3389754891395569,0.9043834484914106,0.009252833680314597,0.34669747948646545,0.898836333193805,0.007012161717979621,5904
34,0.18988681801875798,0.9354036227074027,0.008481421647819063,0.33897173404693604,0.9044057731590521,0.00925497454881999,0.34715569019317627,0.8988474954653272,0.007012930089853167,5904
35,0.18840547270854846,0.9353988386764979,0.008699163118484805,0.33863598108291626,0.9043778673245002,0.009137701694523163,0.34724199771881104,0.8988474954653272,0.007012930089853167,5904
36,0.18684595379940983,0.9354215628232958,0.008483757827276566,0.33923855423927307,0.9044504224943352,0.009029868025005789,0.3485017418861389,0.8988754011441328,0.007014851756453115,5904
37,0.18575764120261554,0.9354478749932724,0.00845075597523561,0.33919811248779297,0.9044894906627078,0.009033528287683132,0.3490348756313324,0.8988586577368495,0.006904866286716353,5904
38,0.1837022082067724,0.9360446828486512,0.00849217533189943,0.3394941985607147,0.9050922566890286,0.008974881986129727,0.35000503063201904,0.8994837449420957,0.006947507719453022,5904
39,0.18285648831141488,0.9361523235440101,0.008395868935284939,0.34050026535987854,0.9052262046948776,0.008987452582433615,0.3517967164516449,0.899584205385796,0.0069544099790263825,5904
40,0.18158072046795207,0.9361439514899266,0.0082842654679867,0.34049418568611145,0.905231785861788,0.008987977121512782,0.35244208574295044,0.8995786242500349,0.006844400287023238,5904
41,0.1810169292710425,0.9361379714512956,0.00824665676077266,0.33980247378349304,0.905231785861788,0.008987977121512782,0.35185548663139343,0.8995618808427515,0.006843267108167771,5904
42,0.1789267687876875,0.9361319914126646,0.008024817491129975,0.3408510684967041,0.9052262046948776,0.008987452582433615,0.3530319035053253,0.8995618808427515,0.006843267108167771,5904
43,0.1783459264848257,0.9361152473044976,0.00780161604903873,0.34158897399902344,0.9052262046948776,0.008987452582433615,0.3538230061531067,0.8995618808427515,0.006843267108167771,5904
44,0.17714948981238873,0.9360985031963307,0.0075784311904452326,0.3422761559486389,0.905231785861788,0.008987977121512782,0.3545686602592468,0.8995618808427515,0.006843267108167771,5904
45,0.17587728913866807,0.9360901311422472,0.007466844979382593,0.34154197573661804,0.9052150423610569,0.008986403687926709,0.353697270154953,0.8995451374354682,0.006842134304474976,5904
46,0.17423634830522308,0.9360793670727113,0.007391861523317794,0.34135162830352783,0.9052150423610569,0.008986403687926709,0.35340261459350586,0.8995451374354682,0.006842134304474976,5904
47,0.17312790711913797,0.9360769750572588,0.0073547164905373025,0.34234848618507385,0.905231785861788,0.008987977121512782,0.35429847240448,0.8995674619785127,0.006843644792758982,5904
48,0.17167318689110359,0.9360733870340803,0.0073174355545650395,0.3425346910953522,0.9052373670286984,0.008872803689218375,0.35433733463287354,0.8995451374354682,0.006842134304474976,5904
49,0.16959875963373852,0.9360829550958899,0.007318522921465191,0.341703861951828,0.905276435197071,0.008876430740481197,0.3533123731613159,0.8995507185712293,0.006842511864032667,5904
50,0.16775741953871406,0.9360937191654258,0.007098392641456843,0.34235379099845886,0.9052820163639814,0.00887694913274543,0.35397443175315857,0.8995507185712293,0.006732891832229581,5904
