phase,rank,candidate_key,experiment_id,feature_variant,window_length,stride,negative_to_positive_ratio,positive_class_weight_scale,learning_rate,dropout,rounds,max_train_examples_per_client,heldout_test_attached,validation_precision,validation_recall,validation_f1,validation_pr_auc,validation_fpr,threshold_used,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,test_confusion_matrix,wall_clock_training_seconds,config_path,run_output_root
fast,45,no_constants_no_corr_w64_s16_r20to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0045,no_constants_no_corr,64,16,20,0.0,0.003,0.05,10,256,False,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.5895400842812948,0.0003022061045633122,0.5019665956497192,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",10.619476208994456,configs/same_setup_optimization/fast/proposed_0045_10e9f83128.yaml,outputs_c1_same_setup_optimization/fast/0045_10e9f83128
fast,46,top_ap_40_w32_s8_r5to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0046,top_ap_40,32,8,5,0.0,0.003,0.05,10,256,False,0.9344262295081968,0.2544642857142857,0.4,0.2869704553884991,0.00030136367060950805,0.5053982138633728,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",6.393895791996329,configs/same_setup_optimization/fast/proposed_0046_a8f32f714e.yaml,outputs_c1_same_setup_optimization/fast/0046_a8f32f714e
fast,47,top_ap_40_w32_s8_r8to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0047,top_ap_40,32,8,8,0.0,0.003,0.05,10,256,False,0.967741935483871,0.26785714285714285,0.4195804195804196,0.30959228635120534,0.00015068183530475403,0.5053637623786926,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",6.793817957994179,configs/same_setup_optimization/fast/proposed_0047_a05f04be67.yaml,outputs_c1_same_setup_optimization/fast/0047_a05f04be67
fast,48,top_ap_40_w32_s8_r10to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0048,top_ap_40,32,8,10,0.0,0.003,0.05,10,256,False,0.8571428571428571,0.29464285714285715,0.43853820598006643,0.3279782970084681,0.0008287500941761471,0.5050103068351746,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",6.359245958003157,configs/same_setup_optimization/fast/proposed_0048_6139a94e98.yaml,outputs_c1_same_setup_optimization/fast/0048_6139a94e98
fast,49,top_ap_40_w32_s8_r15to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0049,top_ap_40,32,8,15,0.0,0.003,0.05,10,256,False,0.92,0.3080357142857143,0.46153846153846156,0.36461393737181924,0.000452045505914262,0.5049204230308533,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",6.506663374995696,configs/same_setup_optimization/fast/proposed_0049_9bd0f4d822.yaml,outputs_c1_same_setup_optimization/fast/0049_9bd0f4d822
fast,50,top_ap_40_w32_s8_r20to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0050,top_ap_40,32,8,20,0.0,0.003,0.05,10,256,False,0.8586956521739131,0.35267857142857145,0.5,0.3931551589310201,0.0009794319294809011,0.5048882365226746,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",6.3526433750012075,configs/same_setup_optimization/fast/proposed_0050_89cb2fb642.yaml,outputs_c1_same_setup_optimization/fast/0050_89cb2fb642
fast,51,top_ap_40_w64_s8_r5to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0051,top_ap_40,64,8,5,0.0,0.003,0.05,10,256,False,0.9107142857142857,0.19921875,0.3269230769230769,0.24686537976764553,0.00037772909269471935,0.5054977536201477,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.272721041998011,configs/same_setup_optimization/fast/proposed_0051_b6f781cf90.yaml,outputs_c1_same_setup_optimization/fast/0051_b6f781cf90
fast,52,top_ap_40_w64_s8_r8to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0052,top_ap_40,64,8,8,0.0,0.003,0.05,10,256,False,0.8441558441558441,0.25390625,0.39039039039039036,0.2930371510909832,0.0009065498224673264,0.5047340989112854,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.416782749998674,configs/same_setup_optimization/fast/proposed_0052_7885389464.yaml,outputs_c1_same_setup_optimization/fast/0052_7885389464
fast,53,top_ap_40_w64_s8_r10to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0053,top_ap_40,64,8,10,0.0,0.003,0.05,10,256,False,0.8589743589743589,0.26171875,0.40119760479041916,0.30442563645595333,0.0008310040039283826,0.5048593282699585,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.081949208004517,configs/same_setup_optimization/fast/proposed_0053_1d6e92e539.yaml,outputs_c1_same_setup_optimization/fast/0053_1d6e92e539
fast,54,top_ap_40_w64_s8_r15to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0054,top_ap_40,64,8,15,0.0,0.003,0.05,10,256,False,0.9459459459459459,0.2734375,0.42424242424242425,0.3276366841886774,0.0003021832741557755,0.5052600502967834,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.57848187500349,configs/same_setup_optimization/fast/proposed_0054_07f147b366.yaml,outputs_c1_same_setup_optimization/fast/0054_07f147b366
