aggregation,best_validation_f1,best_validation_f1_default_threshold,best_validation_round,cluster_id,clustering_method,communication_cost_per_round_bytes,computed_positive_class_weight,convergence_plot_path,dataset,experiment_id,fl_method,hierarchy,input_adapter,ledger_path,membership_hash,metrics_csv_path,model_family,model_manifest_path,n_subclusters,num_leaf_clients,positive_class_weight,positive_class_weight_scale,round_metrics_path,rounds,summary_path,tcn_block_channels,tcn_dropout,tcn_hidden_dim,test_accuracy,test_accuracy_default_threshold,test_auroc,test_auroc_default_threshold,test_confusion_matrix,test_confusion_matrix_default_threshold,test_f1,test_f1_default_threshold,test_fpr,test_fpr_default_threshold,test_pr_auc,test_pr_auc_default_threshold,test_precision,test_precision_default_threshold,test_recall,test_recall_default_threshold,threshold_used,total_communication_cost_bytes,wall_clock_training_seconds
weighted_arithmetic_mean,0.7735849056603774,0.04701432045393137,27,1,,139872,,outputs_c1_repaired/plots/convergence_A_C1_REPAIRED.svg,HAI 21.03 repaired supervised variant,A_C1_REPAIRED,FedAvg,flat,sliding_window_feature_channels,outputs_c1_repaired/ledgers/A_C1_REPAIRED_ledger.jsonl,,outputs_c1_repaired/metrics/A_C1_REPAIRED_metrics.csv,cnn1d,outputs_c1_repaired/models/A_C1_REPAIRED/model_manifest.json,,12,177.56135401974612,,outputs_c1_repaired/runs/A_C1_REPAIRED/round_metrics.csv,50,outputs_c1_repaired/runs/A_C1_REPAIRED/run_summary.json,,,,0.9196677579725961,0.607614890263126,0.8184020961139552,0.8184020961139552,"[[14877, 1136], [189, 292]]","[[9631, 6382], [90, 391]]",0.30591932949188055,0.10780259167355942,0.07094235933304191,0.39855117716855054,0.1789315446826748,0.1789315446826748,0.20448179271708683,0.057729218957625866,0.6070686070686071,0.8128898128898129,0.9999959468841553,6993600,228.54464962499333
weighted_arithmetic_mean,0.736318407960199,0.024715660542432197,2,1,agglomerative,163184,,outputs_c1_repaired/plots/convergence_B_C1_REPAIRED.svg,HAI 21.03 repaired supervised variant,B_C1_REPAIRED,FedAvg,hierarchical_fixed,sliding_window_feature_channels,outputs_c1_repaired/ledgers/B_C1_REPAIRED_ledger.jsonl,0763f71deda08e833b9aaed5e34eb8319698b57e711eefa77430ce84f0c21565,outputs_c1_repaired/metrics/B_C1_REPAIRED_metrics.csv,cnn1d,outputs_c1_repaired/models/B_C1_REPAIRED/model_manifest.json,2,12,177.56135401974612,,outputs_c1_repaired/runs/B_C1_REPAIRED/round_metrics.csv,50,outputs_c1_repaired/runs/B_C1_REPAIRED/run_summary.json,,,,0.9825997332363283,0.5709955135200679,0.8514385985503203,0.8514385985503203,"[[15995, 18], [269, 212]]","[[8998, 7015], [61, 420]]",0.5963431786216596,0.10611419909044972,0.001124086679572847,0.438081558733529,0.6405530420735961,0.6405530420735961,0.9217391304347826,0.05648957632817754,0.4407484407484408,0.8731808731808732,0.9986045956611633,8159200,186.7575876669871
weighted_non_bn_mean,0.7263157894736842,0.3111111111111111,49,1,agglomerative,2964080,177.56135401974612,outputs_c1_repaired/plots/convergence_P_C1_REPAIRED.svg,HAI 21.03 repaired supervised variant,P_C1_REPAIRED,FedBN,hierarchical_fixed,sliding_window_feature_channels,outputs_c1_repaired/ledgers/P_C1_REPAIRED_ledger.jsonl,0763f71deda08e833b9aaed5e34eb8319698b57e711eefa77430ce84f0c21565,outputs_c1_repaired/metrics/P_C1_REPAIRED_metrics.csv,tcn,outputs_c1_repaired/models/P_C1_REPAIRED/model_manifest.json,2,12,177.56135401974612,1.0,outputs_c1_repaired/runs/P_C1_REPAIRED/round_metrics.csv,50,outputs_c1_repaired/runs/P_C1_REPAIRED/run_summary.json,"[32, 64, 64]",0.1,32,0.7787074087546987,0.47665817873166,0.823702038870964,0.823702038870964,"[[12507, 3506], [144, 337]]","[[7424, 8589], [43, 438]]",0.15587419056429233,0.09213294068153134,0.2189471054768001,0.5363766939361768,0.2013112272679893,0.2013112272679893,0.08769190736403851,0.04852110335659687,0.7006237006237006,0.9106029106029107,0.9978277087211609,148204000,1188.4633703750005
