round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_f1,test_loss,test_accuracy,test_f1,communication_cost_bytes
1,0.210610554132468,0.9917513128800443,0.0,0.07309678196907043,0.9958030669895077,0.0,0.10578125715255737,0.9896690879741727,0.0,2964080
2,0.03471337285385195,0.9917513128800443,0.0,0.046817827969789505,0.9958030669895077,0.0,0.08354579657316208,0.9896690879741727,0.0,2964080
3,0.025107903133645547,0.9917513128800443,0.0,0.035355813801288605,0.9958030669895077,0.0,0.07301345467567444,0.9896690879741727,0.0,2964080
4,0.02123436340981421,0.9917513128800443,0.0,0.028189854696393013,0.9958030669895077,0.0,0.06230766326189041,0.9896690879741727,0.0,2964080
5,0.018663039697644983,0.9917513128800443,0.0,0.024336090311408043,0.9958030669895077,0.0,0.05330216512084007,0.9896690879741727,0.0,2964080
6,0.017087067952535548,0.9917513128800443,0.0,0.02176554501056671,0.9958030669895077,0.0,0.04765722155570984,0.9896690879741727,0.0,2964080
7,0.015799402366097098,0.992088170259812,0.08582834331337326,0.020019233226776123,0.9962469733656174,0.2184873949579832,0.04527059942483902,0.9910815173527038,0.24573378839590443,2964080
8,0.01479135329055858,0.9923645660585959,0.14671814671814673,0.019569946452975273,0.9963276836158192,0.24793388429752067,0.043557703495025635,0.9914850686037127,0.3081967213114754,2964080
9,0.013906589276703189,0.9928223466003316,0.2410958904109589,0.0186972264200449,0.9963680387409201,0.27419354838709675,0.04260340705513954,0.9912429378531074,0.3022508038585209,2964080
10,0.013312041191966271,0.9931419292426755,0.2998236331569665,0.018673161044716835,0.9964487489911219,0.30158730158730157,0.04332409426569939,0.9912832929782083,0.31210191082802546,2964080
11,0.012445113867920661,0.9933405887230514,0.33705932932072225,0.018326302990317345,0.9964891041162227,0.32558139534883723,0.043099429458379745,0.9914447134786117,0.3496932515337423,2964080
12,0.012006600880975899,0.9934615118850193,0.36439966414777497,0.018305424600839615,0.9964891041162227,0.31496062992125984,0.042071204632520676,0.9916868442292172,0.38323353293413176,2964080
13,0.011522013945886577,0.9935565229408513,0.3925081433224756,0.01790584996342659,0.9966101694915255,0.373134328358209,0.042341481894254684,0.9918079096045198,0.39762611275964393,2964080
14,0.010872404551847603,0.9937638197899392,0.4305993690851735,0.017537664622068405,0.9969733656174334,0.4827586206896552,0.04309401288628578,0.9918482647296206,0.40236686390532544,2964080
15,0.010630861166811717,0.9940315782200111,0.46558391337973704,0.017587415874004364,0.9969330104923325,0.4794520547945205,0.04353134706616402,0.992090395480226,0.43352601156069365,2964080
16,0.01000311573220664,0.9939106550580431,0.4530643910007758,0.01821189746260643,0.9969330104923325,0.4864864864864865,0.04422895237803459,0.9918886198547215,0.41055718475073316,2964080
17,0.00979866804860022,0.9946016445550028,0.5474293989862419,0.01772499643266201,0.9970944309927361,0.5263157894736842,0.043596211820840836,0.9923325262308313,0.4602272727272727,2964080
18,0.009652205028668107,0.9946016445550028,0.5487364620938628,0.018518323078751564,0.9972558514931397,0.5641025641025641,0.04345434531569481,0.9922518159806295,0.4514285714285714,2964080
19,0.009263385737353254,0.9946793808734107,0.5555555555555556,0.01790217123925686,0.9972558514931397,0.5641025641025641,0.04486239701509476,0.9922518159806295,0.4514285714285714,2964080
