experiment_id,cluster_id,dataset,hierarchy,num_leaf_clients,n_subclusters,clustering_method,membership_file,membership_hash,model_family,fl_method,aggregation,rounds,local_epochs,batch_size,client_optimizer,client_lr,server_lr,beta1,beta2,tau,seed,positive_class_weight_scale,computed_positive_class_weight,positive_class_weight,threshold_selection_mode,validation_fpr_limit,threshold_selected_on,test_dataset_used_for_threshold_tuning,selected_threshold,best_validation_round,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,validation_support,validation_tn,validation_fp,validation_fn,validation_tp,validation_confusion_matrix,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,test_support,test_tn,test_fp,test_fn,test_tp,test_confusion_matrix,parameter_bytes,communication_cost_per_round_bytes,total_communication_cost_bytes,training_time_seconds,output_root
P_C1_BATADAL_TCN_FEDYOGI,1,BATADAL,hierarchical_fixed,12,2,existing_frozen_agglomerative_membership,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_c1_batadal/clustering/cluster1_memberships.json,c605adadbd648c8a0c946c56e1bd185aec1f492c4c5368d6e9d4de2698f7400f,tcn_gn,FedYogi,hierarchical_fedyogi_delta,50,1,128,Adam,0.001,0.01,0.9,0.99,0.001,42,0.25,41.44444444444444,10.36111111111111,max_validation_f1,,validation,False,0.9635933041572571,45,0.6527050610820244,0.5084745762711864,0.7352941176470589,0.6012024048096193,0.6990541474042191,0.5530104205236509,0.39295392953929537,573,224,145,54,150,"[[224, 145], [54, 150]]",0.6650342801175319,0.29172932330827067,0.47665847665847666,0.3619402985074627,0.644279391985814,0.3763322870501355,0.28807339449541286,2042,1164,471,213,194,"[[1164, 471], [213, 194]]",267524,7490672,374533600,221.11037087500154,outputs_c1_batadal_alt
P_C1_BATADAL_TCN_FEDYOGI,1,BATADAL,hierarchical_fixed,12,2,existing_frozen_agglomerative_membership,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_c1_batadal/clustering/cluster1_memberships.json,c605adadbd648c8a0c946c56e1bd185aec1f492c4c5368d6e9d4de2698f7400f,tcn_gn,FedYogi,hierarchical_fedyogi_delta,50,1,128,Adam,0.001,0.01,0.9,0.99,0.001,42,0.25,41.44444444444444,10.36111111111111,max_validation_f1_with_validation_fpr_le_0.10,0.1,validation,False,0.06470093876123428,8,0.7556719022687609,0.826530612244898,0.39705882352941174,0.5364238410596026,0.5644428503108561,0.5842484753924275,0.04607046070460705,573,352,17,123,81,"[[352, 17], [123, 81]]",0.8006856023506367,0.0,0.0,0.0,0.4705152191390724,0.21350525150775806,0.0,2042,1635,0,407,0,"[[1635, 0], [407, 0]]",267524,7490672,374533600,221.11037087500154,outputs_c1_batadal_alt
P_C1_BATADAL_TCN_FEDYOGI,1,BATADAL,hierarchical_fixed,12,2,existing_frozen_agglomerative_membership,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_c1_batadal/clustering/cluster1_memberships.json,c605adadbd648c8a0c946c56e1bd185aec1f492c4c5368d6e9d4de2698f7400f,tcn_gn,FedYogi,hierarchical_fedyogi_delta,50,1,128,Adam,0.001,0.01,0.9,0.99,0.001,42,0.25,41.44444444444444,10.36111111111111,max_validation_f1_with_validation_fpr_le_0.05,0.05,validation,False,0.06470093876123428,8,0.7556719022687609,0.826530612244898,0.39705882352941174,0.5364238410596026,0.5644428503108561,0.5842484753924275,0.04607046070460705,573,352,17,123,81,"[[352, 17], [123, 81]]",0.8006856023506367,0.0,0.0,0.0,0.4705152191390724,0.21350525150775806,0.0,2042,1635,0,407,0,"[[1635, 0], [407, 0]]",267524,7490672,374533600,221.11037087500154,outputs_c1_batadal_alt
P_C1_BATADAL_TCN_FEDYOGI,1,BATADAL,hierarchical_fixed,12,2,existing_frozen_agglomerative_membership,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_c1_batadal/clustering/cluster1_memberships.json,c605adadbd648c8a0c946c56e1bd185aec1f492c4c5368d6e9d4de2698f7400f,tcn_gn,FedYogi,hierarchical_fedyogi_delta,50,1,128,Adam,0.001,0.01,0.9,0.99,0.001,42,0.5,41.44444444444444,20.72222222222222,max_validation_f1,,validation,False,0.8309394717216492,23,0.45898778359511344,0.39314516129032256,0.9558823529411765,0.5571428571428572,0.6323130878367607,0.5301691951693535,0.8157181571815718,573,68,301,9,195,"[[68, 301], [9, 195]]",0.30166503428011754,0.19582089552238807,0.8058968058968059,0.3150816522574448,0.6246646980591934,0.46213215059890667,0.8238532110091743,2042,288,1347,79,328,"[[288, 1347], [79, 328]]",267524,7490672,374533600,229.49871204199735,outputs_c1_batadal_alt
P_C1_BATADAL_TCN_FEDYOGI,1,BATADAL,hierarchical_fixed,12,2,existing_frozen_agglomerative_membership,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_c1_batadal/clustering/cluster1_memberships.json,c605adadbd648c8a0c946c56e1bd185aec1f492c4c5368d6e9d4de2698f7400f,tcn_gn,FedYogi,hierarchical_fedyogi_delta,50,1,128,Adam,0.001,0.01,0.9,0.99,0.001,42,0.5,41.44444444444444,20.72222222222222,max_validation_f1_with_validation_fpr_le_0.10,0.1,validation,False,0.2503528594970703,4,0.7626527050610821,0.8777777777777778,0.3872549019607843,0.5374149659863946,0.5619320899091345,0.5989562466624008,0.02981029810298103,573,358,11,125,79,"[[358, 11], [125, 79]]",0.8006856023506367,0.0,0.0,0.0,0.5609238930339848,0.286223654916116,0.0,2042,1635,0,407,0,"[[1635, 0], [407, 0]]",267524,7490672,374533600,229.49871204199735,outputs_c1_batadal_alt
P_C1_BATADAL_TCN_FEDYOGI,1,BATADAL,hierarchical_fixed,12,2,existing_frozen_agglomerative_membership,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_c1_batadal/clustering/cluster1_memberships.json,c605adadbd648c8a0c946c56e1bd185aec1f492c4c5368d6e9d4de2698f7400f,tcn_gn,FedYogi,hierarchical_fedyogi_delta,50,1,128,Adam,0.001,0.01,0.9,0.99,0.001,42,0.5,41.44444444444444,20.72222222222222,max_validation_f1_with_validation_fpr_le_0.05,0.05,validation,False,0.2503528594970703,4,0.7626527050610821,0.8777777777777778,0.3872549019607843,0.5374149659863946,0.5619320899091345,0.5989562466624008,0.02981029810298103,573,358,11,125,79,"[[358, 11], [125, 79]]",0.8006856023506367,0.0,0.0,0.0,0.5609238930339848,0.286223654916116,0.0,2042,1635,0,407,0,"[[1635, 0], [407, 0]]",267524,7490672,374533600,229.49871204199735,outputs_c1_batadal_alt
P_C1_BATADAL_TCN_FEDYOGI,1,BATADAL,hierarchical_fixed,12,2,existing_frozen_agglomerative_membership,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_c1_batadal/clustering/cluster1_memberships.json,c605adadbd648c8a0c946c56e1bd185aec1f492c4c5368d6e9d4de2698f7400f,tcn_gn,FedYogi,hierarchical_fedyogi_delta,50,1,128,Adam,0.001,0.01,0.9,0.99,0.001,42,1.0,41.44444444444444,41.44444444444444,max_validation_f1,,validation,False,0.0023923967964947224,32,0.5828970331588132,0.4492753623188406,0.7598039215686274,0.5646630236794171,0.6334954035814868,0.47750424503287436,0.5149051490514905,573,179,190,49,155,"[[179, 190], [49, 155]]",0.4990205680705191,0.231239092495637,0.6511056511056511,0.3412749517063748,0.6184357835733982,0.3498439759749516,0.5388379204892967,2042,754,881,142,265,"[[754, 881], [142, 265]]",267524,7490672,374533600,230.4196790829883,outputs_c1_batadal_alt
P_C1_BATADAL_TCN_FEDYOGI,1,BATADAL,hierarchical_fixed,12,2,existing_frozen_agglomerative_membership,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_c1_batadal/clustering/cluster1_memberships.json,c605adadbd648c8a0c946c56e1bd185aec1f492c4c5368d6e9d4de2698f7400f,tcn_gn,FedYogi,hierarchical_fedyogi_delta,50,1,128,Adam,0.001,0.01,0.9,0.99,0.001,42,1.0,41.44444444444444,41.44444444444444,max_validation_f1_with_validation_fpr_le_0.10,0.1,validation,False,0.9999988079071045,30,0.7242582897033158,0.6982758620689655,0.39705882352941174,0.50625,0.6366238907487114,0.5035577493430625,0.0948509485094851,573,334,35,123,81,"[[334, 35], [123, 81]]",0.8178256611165524,1.0,0.085995085995086,0.1583710407239819,0.6229665862693385,0.40996211981520303,0.0,2042,1635,0,372,35,"[[1635, 0], [372, 35]]",267524,7490672,374533600,230.4196790829883,outputs_c1_batadal_alt
P_C1_BATADAL_TCN_FEDYOGI,1,BATADAL,hierarchical_fixed,12,2,existing_frozen_agglomerative_membership,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_c1_batadal/clustering/cluster1_memberships.json,c605adadbd648c8a0c946c56e1bd185aec1f492c4c5368d6e9d4de2698f7400f,tcn_gn,FedYogi,hierarchical_fedyogi_delta,50,1,128,Adam,0.001,0.01,0.9,0.99,0.001,42,1.0,41.44444444444444,41.44444444444444,max_validation_f1_with_validation_fpr_le_0.05,0.05,validation,False,0.5693562626838684,3,0.7242582897033158,0.7804878048780488,0.3137254901960784,0.44755244755244755,0.5571231202508105,0.5721270949712998,0.04878048780487805,573,351,18,140,64,"[[351, 18], [140, 64]]",0.8006856023506367,0.0,0.0,0.0,0.5472067563810683,0.30093830502582497,0.0,2042,1635,0,407,0,"[[1635, 0], [407, 0]]",267524,7490672,374533600,230.4196790829883,outputs_c1_batadal_alt
