run_id,experiment_id,output_root,seed,rounds,local_epochs,batch_size,learning_rate,dropout,positive_class_weight_scale,training_resampling,target_positive_fraction,threshold_mode,selected_threshold,validation_f1,validation_fpr,validation_precision,validation_recall,validation_confusion_matrix,best_validation_round,is_selected,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,test_confusion_matrix,reused_existing_run
scale_010,P_C1_BATADAL,outputs_c1_batadal_tuned/positive_window_oversampling/scale_010,42,50,1,128,0.003,0.1,0.1,positive_window_oversampling,0.5,max_validation_f1_with_validation_fpr_le_0.10,0.9602330327033997,0.49056603773584906,0.0975609756097561,0.6842105263157895,0.38235294117647056,"[[333, 36], [126, 78]]",50,True,0.797747306562194,0.42857142857142855,0.044226044226044224,0.0801781737193764,0.6341320469760836,0.3639821826847601,0.014678899082568808,"[[1611, 24], [389, 18]]",True
scale_025,P_C1_BATADAL,outputs_c1_batadal_tuned/positive_window_oversampling/scale_025,42,50,1,128,0.003,0.1,0.25,positive_window_oversampling,0.5,max_validation_f1_with_validation_fpr_le_0.10,0.9950224161148071,0.48580441640378547,0.0975609756097561,0.6814159292035398,0.37745098039215685,"[[333, 36], [127, 77]]",50,False,,,,,,,,,True
scale_050,P_C1_BATADAL,outputs_c1_batadal_tuned/positive_window_oversampling/scale_050,42,50,1,128,0.003,0.1,0.5,positive_window_oversampling,0.5,max_validation_f1_with_validation_fpr_le_0.10,0.9974785447120667,0.48580441640378547,0.0975609756097561,0.6814159292035398,0.37745098039215685,"[[333, 36], [127, 77]]",35,False,,,,,,,,,True
