round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_f1,test_loss,test_accuracy,test_f1,communication_cost_bytes
1,0.21400129707923174,0.9364955777614323,0.0,0.3066672682762146,0.9085190931720004,0.0,0.32323095202445984,0.9021515278359146,0.00011406410402646287,4920
2,0.10311871595475651,0.9365171059005041,0.0027805437090198584,0.32086971402168274,0.9078437719758448,0.003981179876945349,0.3393556475639343,0.9016213199386075,0.0007936058046595998,4920
3,0.08412189839538814,0.9364907937305275,0.006696720851493668,0.3270723521709442,0.9070177592731088,0.00892325996430696,0.3427411615848541,0.9011078554485837,0.006726834463815236,4920
4,0.07471628806351568,0.9363412927647513,0.0069405574834881896,0.32800403237342834,0.9058959447241229,0.008934344324927996,0.33951789140701294,0.900242779405609,0.006779284285396755,4920
5,0.06980882711902217,0.9362922564479766,0.007268389958439719,0.32483628392219543,0.9054661948720238,0.008894090111176126,0.33267906308174133,0.8998353564950468,0.006861822810027115,4920
6,0.06674722572432584,0.9362527881930117,0.007337877602711662,0.3208054304122925,0.9053489903669059,0.008999006603167183,0.32582512497901917,0.8996958281010186,0.006962095259144657,4920
7,0.06507447176585857,0.9362169079612255,0.007481575225191692,0.31885454058647156,0.9053266656992645,0.00922843291863793,0.3220464885234833,0.8996902469652575,0.007071432517540467,4920
8,0.06408382055594583,0.9361834197448915,0.007477678571428572,0.31759288907051086,0.9052596916963399,0.0092219692990136,0.31942278146743774,0.8996232733361239,0.0070667476398167065,4920
9,0.06327167842793492,0.9361726556753557,0.007513343623886482,0.3176429271697998,0.9052485293625191,0.009220892909250072,0.31866520643234253,0.8996176922003628,0.00706635751352545,4920
10,0.06256250469092371,0.9361846157526178,0.007662407707043092,0.31905242800712585,0.9052652728632502,0.009222507588139155,0.31967464089393616,0.8996176922003628,0.00706635751352545,4920
11,0.062101304658228634,0.9361989678453323,0.0078117734585697015,0.32099395990371704,0.9053043410316229,0.009341974659893735,0.32141074538230896,0.8996400167434073,0.00706791827719492,4920
12,0.06167493652615023,0.9362169079612255,0.007961605714498308,0.3225245475769043,0.9053155033654436,0.009343065693430658,0.32272034883499146,0.8996567601506906,0.007069089302479704,4920
13,0.06115424648277598,0.9361128552890452,0.008169782943721336,0.3234507739543915,0.9051982988603258,0.009331622535868424,0.3234286308288574,0.8995562997069904,0.007062068965517241,4920
14,0.060714051438373044,0.9362276720307613,0.007962938845373867,0.32610276341438293,0.905321084532354,0.00934361130576968,0.32627272605895996,0.8996511790149295,0.007068698917605479,4920
15,0.06037294297345233,0.9358844178133391,0.008104207526921512,0.32609400153160095,0.9049304028486276,0.009305571711061998,0.32620203495025635,0.8993330542765453,0.007046518029176989,4920
16,0.060006882069669434,0.9354753831709753,0.008417879723570063,0.3252103328704834,0.9044057731590521,0.009369577790630423,0.3252658545970917,0.8989033068229385,0.007234462347911871,4920
17,0.05955505264191019,0.9350220962427417,0.008938506722121892,0.3258044719696045,0.90393137397167,0.009437762559705357,0.3259708881378174,0.898356355518348,0.007412252016568564,4920
18,0.05905553156816876,0.9348582431842509,0.009276775320139697,0.32649528980255127,0.9037806824650898,0.0095369412846145,0.3268473446369171,0.8981442723594252,0.0076128330614464385,4920
19,0.058689152682200076,0.9348450870992626,0.009166803077426747,0.3278130292892456,0.9037695201312691,0.009535845588235295,0.328412264585495,0.8981219478163807,0.007611177557899315,4920
