experiment_id,seed,positive_class_weight_scale,computed_positive_class_weight,positive_class_weight,best_validation_round,threshold_selection_mode,validation_fpr_limit,threshold_selected_on,test_dataset_used_for_threshold_tuning,selected_threshold,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,validation_support,validation_tn,validation_fp,validation_fn,validation_tp,validation_confusion_matrix,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,test_support,test_tn,test_fp,test_fn,test_tp,test_confusion_matrix,validation_predictions_path,test_predictions_path,source_output_root
P_C1_BATADAL,42,,,,,max_validation_f1,,validation,False,0.500888466835022,0.4694589877835951,0.39669421487603307,0.9411764705882353,0.5581395348837209,0.5867939316648069,0.5448581283105526,0.7913279132791328,573,77,292,12,192,"[[77, 292], [12, 192]]",0.30411361410381976,0.21675977653631284,0.9533169533169533,0.3532089212562585,0.659978660896092,0.34069375229316246,0.8574923547400611,2042,233,1402,19,388,"[[233, 1402], [19, 388]]",outputs_c1_batadal/predictions/P_C1_BATADAL/validation_predictions_seed_42.npz,outputs_c1_batadal/predictions/P_C1_BATADAL/test_predictions_seed_42.npz,outputs_c1_batadal
P_C1_BATADAL,42,,,,,max_validation_f1_with_validation_fpr_le_0.10,0.1,validation,False,0.8571146130561829,0.7033158813263525,0.660377358490566,0.3431372549019608,0.45161290322580644,0.5867939316648069,0.5448581283105526,0.0975609756097561,573,333,36,134,70,"[[333, 36], [134, 70]]",0.8006856023506367,0.0,0.0,0.0,0.659978660896092,0.34069375229316246,0.0,2042,1635,0,407,0,"[[1635, 0], [407, 0]]",outputs_c1_batadal/predictions/P_C1_BATADAL/validation_predictions_seed_42.npz,outputs_c1_batadal/predictions/P_C1_BATADAL/test_predictions_seed_42.npz,outputs_c1_batadal
P_C1_BATADAL,42,,,,,max_validation_f1_with_validation_fpr_le_0.05,0.05,validation,False,0.9805834293365479,0.7068062827225131,0.75,0.2647058823529412,0.391304347826087,0.5867939316648069,0.5448581283105526,0.04878048780487805,573,351,18,150,54,"[[351, 18], [150, 54]]",0.8006856023506367,0.0,0.0,0.0,0.659978660896092,0.34069375229316246,0.0,2042,1635,0,407,0,"[[1635, 0], [407, 0]]",outputs_c1_batadal/predictions/P_C1_BATADAL/validation_predictions_seed_42.npz,outputs_c1_batadal/predictions/P_C1_BATADAL/test_predictions_seed_42.npz,outputs_c1_batadal
